date,kind,fund_code,fund_name,price,shares_outstanding,investor_count,portfolio_size,exchange_bulletin_price,gunluk_getiri_%
2026-09-25,YAT,BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,50.961518,163956436.0,1059,8355468916.66,,0.049222122799852386
2026-09-25,YAT,CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,2.608303,624102268.0,361,1627847895.46,,0.09463370118698577
2026-09-25,YAT,DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,4.940787,26347513063.0,21550,130177439751.74,,0.09880650173930139
2026-09-25,YAT,GJH,GARANTİ PORTFÖY PARA PİYASASI SERBEST (TL) FON,4.073319,27074518485.0,22916,110283138740.03,,0.09738641691707794
2026-09-25,YAT,GTL,GARANTİ PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,0.139409,1251554944726.0,348972,174478102656.66,,0.0940564913338715
2026-09-25,YAT,HKV,ZİRAAT PORTFÖY HALKBANK KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,611.284741,7373029.0,36944,4507020123.77,,0.09021574266561139
2026-09-25,YAT,HLL,ZİRAAT PORTFÖY HALKBANK PARA PİYASASI (TL) FONU,0.395714,126668768411.95,1027990,50124571717.22,,0.09586806126449243
2026-09-25,YAT,HPV,ZİRAAT PORTFÖY HALKBANK KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,8.052588,1186922709.001,338661,9557799557.41,,0.10806953596487201
2026-09-25,YAT,ILH,İŞ PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,4.147316,40719966841.47,11553,168878553031.24,,0.0980388844130875
2026-09-25,YAT,IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,4.769322,6196084191.0,10301,29551121577.69,,0.08843451187254825
2026-09-25,YAT,TI1,İŞ PORTFÖY PARA PİYASASI (TL) FONU,1726.014647,123107736.65,234427,212485756659.91,,0.0967061679693737
2026-09-25,YAT,TZL,ZİRAAT PORTFÖY PARA PİYASASI (TL) FONU,0.143029,684140819001.17,184721,97851774526.83,,0.0965771112246383
2026-09-25,YAT,VK6,V PORTFÖY VAKIFBANK PARA PİYASASI (TL) FONU,4.303116,18179861741.988,160436,78230046695.31,,0.09618558444430825
2026-09-25,YAT,YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,59.229843,1303951814.0,9183,77232861525.85,,0.04533722800070805
2026-09-25,YAT,YLB,YAPI KREDİ PORTFÖY PARA PİYASASI FONU,1.883111,50836027901.0,358985,95729881296.12,,0.09732735159040384
2026-09-25,YAT,YP4,YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON,55.718646,2421552331.0,28888,134925617396.63,,0.04438185792892124
2026-09-25,YAT,YPT,YAPI KREDİ PORTFÖY PARA PİYASASI SERBEST (TL) FON,4.28963,30382367418.0,19156,130329099812.21,,0.09798314335243141
2026-09-25,YAT,YVD,YAPI KREDİ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,4.569694,9782368551.0,81391,44702428622.92,,0.09725636295372375
2026-09-25,YAT,ZP8,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,4.225611,12951879462.0,4312,54729602812.44,,0.09863916330110634
